# RESUMO ESTATÍSTICO - COMPARAÇÃO DE TREINAMENTOS
##################################################
# Arquivo: training_data.json
# Robot: robot_stage4
# Algorithm: TD3
# Environment: todos_alternados
# Data: 2025-11-27T10:20:18.673579
##################################################
# QUADRO DE RESUMO POR TIPO DE PISTA
Métrica,PR,PBA,PG,PRB,PRD,PRA,MÉDIA
Total Episódios,831,832,832,831,831,832,
Melhor Distancia,7.956,9.011,7.762,8.21,7.743,4.6,
Maior Recompensa,3989.755,4790.87,4063.704,4108.724,3026.948,3642.044,
Menor Distância,-1.235,-1.214,-1.496,-1.322,-1.425,-1.288,
Média recompensa,443.672,433.445,476.893,430.762,234.29,328.199,391.21
Média Distância,1.334,1.332,1.415,1.336,1.23,0.396,1.174
Episodios de sucesso,0,1,0,0,0,0,
Percentual de Sucessos,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
Total de Passos,99835,101298,116110,103621,72945,124593,
Total tempo (s),3327.833,3376.6,3870.333,3454.033,2431.5,4153.1,
Primeiro episódio de Sucesso,0,4903,0,0,0,0,
Soma passos até Primeiro Sucesso,0,97206,0,0,0,0,
Tempo do Primeiro Sucesso (s),0,14.967,0,0,0,0,
Número do Episódio mais rápido >9m,0,4903,0,0,0,0,
Melhor Tempo do Percurso (9m) (s),0,14.967,0,0,0,0,
% Sucessos depois de 9m,0.00%,6.70%,0.00%,0.00%,0.00%,0.00%,6.70%
##################################################
# DADOS DETALHADOS DOS EPISÓDIOS
Pista,episodio,distancia,tempo,recompensa,passos,successos,imu_x,imu_y,imu_z,roll_deg,pitch_deg,yaw_deg,imu_average_x_vel,imu_average_y_vel,imu_average_z_vel,roll_vel_deg,pitch_vel_deg,yaw_vel_deg,imu_x_vel,imu_y_vel,imu_z_vel,roll,pitch,yaw,roll_vel,pitch_vel,yaw_vel
PR,42,-0.763,1.167,-505.706,35,0,-0.613,-0.481,0.478,19.290,-73.541,-6.497,-0.670,-0.395,-0.449,189.049,-233.213,-20.919,-1.572,-1.255,-2.950,0.337,-1.284,-0.113,3.300,-4.070,-0.365
PBA,43,-1.047,0.967,-399.396,29,0,-0.897,0.422,0.442,-100.038,-81.008,94.212,-1.101,0.449,-0.584,-117.064,-168.752,0.696,-1.611,1.462,-3.270,-1.746,-1.414,1.644,-2.043,-2.945,0.012
PG,44,-1.196,1.867,-387.589,56,0,-1.046,-0.268,0.484,74.767,-80.625,-72.165,-0.667,-0.150,-0.291,32.761,-241.550,-15.613,-1.816,-0.820,-3.098,1.305,-1.407,-1.260,0.572,-4.216,-0.272
PRA,45,-1.015,1.200,-410.502,36,0,-0.865,0.026,0.663,-58.837,-73.585,68.756,-0.881,-0.028,-0.301,101.386,-155.318,-4.454,-1.819,-0.202,-2.264,-1.027,-1.284,1.200,1.770,-2.711,-0.078
PRB,46,-1.065,1.267,-533.971,38,0,-0.915,0.358,0.439,-65.327,-49.671,58.816,-0.874,0.254,-0.421,-54.485,-222.613,-33.538,-1.757,0.164,-2.883,-1.140,-0.867,1.027,-0.951,-3.885,-0.585
PRD,47,-0.836,0.933,-337.190,28,0,-0.686,0.074,0.663,50.277,-67.888,-62.951,-0.920,0.102,-0.354,38.757,-205.334,-45.154,-1.681,0.502,-2.359,0.878,-1.185,-1.099,0.676,-3.584,-0.788
PR,48,-1.066,1.067,-432.135,32,0,-0.916,0.111,0.477,-74.657,-79.674,84.996,-1.026,0.102,-0.523,6.267,-203.471,4.788,-1.795,0.101,-3.155,-1.303,-1.391,1.483,0.109,-3.551,0.084
PBA,49,-0.873,1.100,-350.634,33,0,-0.723,-0.058,0.628,42.154,-55.393,-64.544,-0.816,-0.014,-0.316,-60.850,-172.828,1.870,-1.862,0.788,-1.833,0.736,-0.967,-1.126,-1.062,-3.016,0.033
PG,50,-0.720,1.167,-465.212,35,0,-0.570,-0.895,0.481,56.215,-41.462,-35.139,-0.629,-0.728,-0.444,149.069,-124.695,3.998,-0.958,-1.692,-2.847,0.981,-0.724,-0.613,2.602,-2.176,0.070
PRA,51,0.161,1.267,-502.348,38,0,0.311,-0.930,0.424,72.620,-26.087,14.520,0.139,-0.767,-0.484,174.559,110.417,-43.199,0.240,-1.796,-2.780,1.267,-0.455,0.253,3.047,1.927,-0.754
PRB,52,-1.168,0.933,-379.954,28,0,-1.018,-0.130,0.564,-133.141,-84.705,137.322,-1.295,-0.100,-0.474,43.851,-262.718,-48.035,-1.984,-0.544,-2.603,-2.324,-1.478,2.397,0.765,-4.585,-0.838
PRD,53,-1.057,0.900,-340.174,27,0,-0.907,-0.209,0.491,-77.086,-73.506,78.979,-1.214,-0.261,-0.571,-74.175,-228.530,-31.992,-1.899,-0.245,-3.039,-1.345,-1.283,1.378,-1.295,-3.989,-0.558
PR,54,-1.049,0.867,-408.841,26,0,-0.899,-0.202,0.435,81.543,-72.384,-70.336,-1.234,-0.225,-0.677,66.490,-204.535,-56.419,-2.060,-0.344,-3.233,1.423,-1.263,-1.228,1.160,-3.570,-0.985
PBA,55,-0.902,1.200,-555.719,36,0,-0.752,0.017,0.451,3.373,-77.554,1.579,-0.778,0.019,-0.447,48.079,-201.389,3.336,-1.781,0.178,-2.920,0.059,-1.354,0.028,0.839,-3.515,0.058
PG,56,-0.982,1.000,-384.963,30,0,-0.832,-0.192,0.437,67.241,-70.340,-61.192,-1.008,-0.164,-0.580,41.523,-196.092,1.178,-1.679,-0.308,-3.093,1.174,-1.228,-1.068,0.725,-3.422,0.021
PRA,57,-1.165,1.067,-458.228,32,0,-1.015,-0.135,0.439,63.657,-79.045,-70.231,-1.134,-0.154,-0.523,62.889,-186.690,2.598,-1.885,-0.029,-3.003,1.111,-1.380,-1.226,1.098,-3.258,0.045
PRB,58,-1.224,1.967,-680.283,59,0,-1.074,-0.343,0.402,-35.672,-81.735,46.387,-0.633,-0.205,-0.316,175.469,-170.552,-2.915,-1.640,-0.750,-3.271,-0.623,-1.427,0.810,3.063,-2.977,-0.051
PRD,59,-0.944,1.167,-469.874,35,0,-0.794,0.516,0.437,31.886,-85.555,-69.630,-0.820,0.481,-0.513,-215.533,-195.085,1.131,-1.588,0.914,-3.356,0.557,-1.493,-1.215,-3.762,-3.405,0.020
PR,60,-0.542,0.767,-317.415,23,0,-0.392,0.604,0.530,23.073,-74.405,-61.258,-0.704,0.862,-0.621,-181.650,-76.900,-14.306,-0.793,1.881,-2.886,0.403,-1.299,-1.069,-3.170,-1.342,-0.250
PBA,61,-0.731,1.000,-438.996,30,0,-0.581,-0.406,0.409,-18.585,-76.419,44.377,-0.764,-0.421,-0.578,49.627,-178.954,14.094,-1.331,-1.061,-3.058,-0.324,-1.334,0.775,0.866,-3.123,0.246
PG,62,-0.447,0.767,-454.412,23,0,-0.297,0.633,0.457,-53.956,-66.316,3.535,-0.594,0.877,-0.705,-146.229,-177.068,-12.532,-0.996,1.409,-2.938,-0.942,-1.157,0.062,-2.552,-3.090,-0.219
PRA,63,-1.013,1.233,-529.853,37,0,-0.863,0.024,0.479,-15.809,-71.511,6.571,-0.848,0.016,-0.429,-46.638,-180.191,-4.370,-2.350,-0.062,-2.718,-0.276,-1.248,0.115,-0.814,-3.145,-0.076
PRB,64,-0.807,1.133,-377.256,34,0,-0.657,0.464,0.396,-104.520,-80.373,90.733,-0.733,0.403,-0.557,9.892,-184.967,66.174,-1.538,0.325,-3.338,-1.824,-1.403,1.584,0.173,-3.228,1.155
PRD,65,-1.052,1.100,-538.201,33,0,-0.902,0.499,0.444,-45.857,-71.849,38.275,-0.989,0.417,-0.509,-50.632,-268.789,-1.414,-1.947,0.196,-3.065,-0.800,-1.254,0.668,-0.884,-4.691,-0.025
PR,66,-0.830,0.933,-477.542,28,0,-0.680,0.675,0.421,-63.828,-64.250,40.774,-0.916,0.732,-0.645,-122.238,-132.424,1.628,-1.156,1.384,-3.254,-1.114,-1.121,0.712,-2.133,-2.311,0.028
PBA,67,0.777,2.233,-475.769,67,0,0.927,0.489,0.468,42.258,52.622,23.974,0.354,0.218,-0.257,-57.445,121.664,-1.815,1.533,0.263,-1.461,0.738,0.918,0.418,-1.003,2.123,-0.032
PG,68,-0.950,1.133,-382.706,34,0,-0.800,0.036,0.572,-53.515,-67.929,62.427,-0.861,0.004,-0.371,41.428,-196.151,36.881,-1.865,-0.721,-2.539,-0.934,-1.186,1.090,0.723,-3.423,0.644
